CountryCode,Lesbian,Gay,Transgender,Bisexual women and men,total pepole
Austria,3.59774599,3.579643473,3.582317073,3.606892523,3.591649765
Belgium,3.59774599,3.579643473,3.582317073,3.599591121,3.589824415
Bulgaria,3.496604537,3.579643473,3.582317073,3.584988318,3.56088835
Cyprus,3.496604537,3.579643473,3.544207317,3.511974299,3.533107407
Czech Republic,3.59774599,3.579643473,3.582317073,3.577686916,3.584348363
Germany,3.59774599,3.579643473,3.582317073,3.636098131,3.598951167
Denmark,3.59774599,3.579643473,3.582317073,3.570385514,3.582523013
Estonia,3.525502095,3.52213916,3.525152439,3.490070093,3.515715947
Greece,3.59774599,3.579643473,3.582317073,3.533878505,3.57339626
Spain,3.59774599,3.579643473,3.582317073,3.636098131,3.598951167
Finland,3.59774599,3.579643473,3.582317073,3.606892523,3.591649765
France,3.59774599,3.579643473,3.582317073,3.606892523,3.591649765
Croatia,3.496604537,3.579643473,3.582317073,3.533878505,3.548110897
Hungary,3.539950874,3.579643473,3.582317073,3.577686916,3.569899584
Ireland,3.59774599,3.579643473,3.582317073,3.533878505,3.57339626
Italy,3.59774599,3.579643473,3.582317073,3.577686916,3.584348363
Lithuania,3.539950874,3.52213916,3.563262195,3.526577103,3.537982333
Luxembourg,3.59774599,3.579643473,3.563262195,3.548481308,3.572283242
Latvia,3.539950874,3.52213916,3.563262195,3.533878505,3.539807684
Malta,3.482155758,3.52213916,3.467987805,3.460864486,3.483286802
Netherlands,3.583297211,3.579643473,3.582317073,3.621495327,3.591688271
Poland,3.59774599,3.579643473,3.582317073,3.636098131,3.598951167
Portugal,3.59774599,3.579643473,3.582317073,3.606892523,3.591649765
Romania,3.59774599,3.579643473,3.582317073,3.577686916,3.584348363
Sweden,3.59774599,3.579643473,3.582317073,3.577686916,3.584348363
Slovenia,3.59774599,3.579643473,3.544207317,3.541179907,3.565694172
Slovakia,3.539950874,3.579643473,3.582317073,3.577686916,3.569899584
United Kingdom,3.59774599,3.579643473,3.582317073,3.606892523,3.591649765
